Title,Genre,Rating,Purchase Link
STING,TERROR,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=4114
QUEER,DRAMA,CALIFICACIÓN SAM 16,/showcase/pelicula.aspx?filmid=4115
ALL TO PAY FOR,DRAMA,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=4116
ALTER EGO,SUSPENSO,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=4117
KRAVEN THE HUNTER,ACCIÓN,CALIFICACIÓN SAM 16,/showcase/pelicula.aspx?filmid=4092
ONE DIRECTION: THIS IS US,DOCUMENTAL,CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4093
MUFASA: THE LION KING,AVENTURAS,CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4094
SOLO LEVELING: REAWAKENING,ANIMÉ,CALIFICACIÓN SAM 13 C/R,/showcase/pelicula.aspx?filmid=4072
NCT DREAM MYSTERY LAB: DREAM()SCAPE IN CINEMAS,"CONCIERTO, MÚSICA",CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4055
LORD OF THE RINGS: THE WAR OF THE ROHIRRIM,ANIMACIÓN,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=4067
"RM: RIGHT PEOPLE, WRONG PLACE","CONCIERTO, MÚSICA",CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4053
HERECTIC,SUSPENSO,CALIFICACIÓN SAM 16,/showcase/pelicula.aspx?filmid=4042
MOANA 2,AVENTURAS,CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4025
WICKED,AVENTURAS,CALIFICACIÓN ATP C/L,/showcase/pelicula.aspx?filmid=4026
DAFT PUNK & LEIJI MATSUMOTO: INTERSTELLA 5555,"CONCIERTO, MÚSICA",CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4017
COUP DE CHANCE,DRAMA,CALIFICACIÓN SAM 13 C/R,/showcase/pelicula.aspx?filmid=4019
STOP MAKING SENSE,"CONCIERTO, MÚSICA",CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=4011
WE LIVE IN TIME,DRAMA,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=3992
RED ONE,ACCIÓN,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=3974
GLADIATOR II,ACCIÓN,CALIFICACIÓN SAM 13 C/R,/showcase/pelicula.aspx?filmid=3975
VENOM: THE LAST DANCE,ACCIÓN,CALIFICACIÓN SAM 13,/showcase/pelicula.aspx?filmid=3893
WILD ROBOT,AVENTURAS,CALIFICACIÓN ATP,/showcase/pelicula.aspx?filmid=3842
THE SUBSTANCE,DRAMA,CALIFICACIÓN SAM 16 C/R,/showcase/pelicula.aspx?filmid=3805
